key,job_role,job_title,company_name,skills,job_type,location,experience
1,data engineer,senior data engineer,deutsche bank,"mathematical models,database structures",full time,pune,1
2,data engineer,azure data engineer,capgemini technology services india limited,"azure""",full time,kolkata,9
3,data engineer,,,,,,-1
4,data engineer,,,,,,-1
5,data engineer,,,,,,-1
6,data engineer,,,,,,-1
7,data engineer,,,,,,-1
8,data engineer,,,,,,-1
9,data engineer,,,,,,-1
10,data engineer,,,,,,-1
11,data engineer,,,,,,-1
12,data engineer,,,,,,-1
13,data engineer,,,,,,-1
14,data engineer,,,,,,-1
15,data engineer,,,,,,-1
16,data analyst,data analyst,hsbc,"visualization,data quality assessment,business analysis",full time,bengaluru,8
17,data analyst,data analyst,myntra,"r,datastudio,powerbi,tableau,qlikview",full time,bengaluru,3
18,data analyst,data analyst (sql),coforge,"large data volumes,microsoft office suite",full time,hyderabad,0
19,data analyst,data analyst,barclays,"odbc,hadoop,sas,impala,sql",full time,delhi,6
20,data analyst,"management trainee, data analyst",genpact,"r,sql,python,excel",full time,,1
21,data analyst,sr data analyst,gartner,"statistical tools,powerpoint,vba/macros",full time,gurugram,5
22,data analyst,reference data analyst,deutsche bank,"fixed income cash,problem solving skills",full time,jaipur,4
23,data analyst,data analyst,barclays,"data analysis,star,flat,entity-relation diagramming",full time,pune,1
24,data analyst,data analyst,barclays,"data analysis,star,flat,3nf,data flow diagramming",full time,pune,1
25,data analyst,reference data analyst,deutsche bank,"financial products,stakeholder management",full time,bengaluru,7
26,data analyst,regulatory risk data analyst avp,hsbc,"liquidity reporting,risk reporting,rwa reporting",full time,chennai,7
27,data analyst,reference data analyst,deutsche bank,"financial products,stakeholder management",full time,bengaluru,7
28,data analyst,senior data analyst,careernet,"mmm,python,sql",full time,hyderabad,5
29,data analyst,data analyst,barclays,"ab initio gde,visualization,retail banking",full time,pune,1
30,data analyst,reference data analyst,deutsche bank,"financial products,stakeholder management",full time,bengaluru,7
31,data analyst,sr advanced data analyst,honeywell,"business analyst,interrelationships,multiple projects",full time,bengaluru,6
32,data analyst,reference data analyst,deutsche bank,"client reference data,modification,clients",full time,bengaluru,7
33,data analyst,"reference data analyst, nct",deutsche bank,"project management,problem solving,communication",full time,bengaluru,1
34,data analyst,business analyst-senior data analyst-master data management,genpact,"powerpoint,data collection,continuous improvement",full time,bengaluru,1
35,data analyst,reference data analyst,deutsche bank,"client reference data,modification,clients",full time,bengaluru,7
36,data analyst,sr data analyst,gartner,"visualization dashboards,business analytics",full time,gurugram,5
37,data analyst,data analyst (python+sql+pyspark),kpmg india,"pyspark,python,sql",full time,gurugram,7
38,data analyst,data analyst - hr reporting & insights,blackrock,"r,data,excel,vba,data visualization",full time,gurugram,1
39,data analyst,"senior, data analyst",walmart,"statistical learning,prescriptive analytics,teradata",full time,bengaluru,7
40,data analyst,"reference data analyst, nct",deutsche bank,"financial services,problem solving,project management",full time,bengaluru,1
41,data analyst,"reference data analyst, nct",deutsche bank,"project management,problem solving,communication",full time,bengaluru,1
42,data analyst,"reference data analyst, nct",deutsche bank,"financial services,problem solving,project management",full time,bengaluru,0
43,data analyst,process expert- o2c (data analyst),siemens,"data analysis,tableau,microsoft excel,data visualization",full time,bengaluru,1
44,data analyst,reference data analyst,deutsche bank,"fixed income cash,problem solving skills",full time,jaipur,4
45,data analyst,reference data analyst,deutsche bank,"client reference data,modification,clearing data quality exceptions",full time,bengaluru,7
46,data analyst,sr. data analyst,gartner,"analytical tools,mathematics,computer science",full time,gurugram,3
47,data analyst,data analyst,_vois,"decision support systems,data analysis,business intelligence",full time,pune,1
48,data analyst,senior data analyst,indegene,"ms excel,tableau,sql",full time,bengaluru,3
49,data analyst,senior data analyst (bangalore or gurgaon),delhivery limited,"r,ms excel,python",full time,bengaluru,1
50,data analyst,big data analyst.,randstad,"google data studio,r,google bigquery",full time,hyderabad,6
51,data analyst,sr data analyst,gartner,"salesforce,data lakes,powerpoint,numpy",full time,gurugram,4
52,data analyst,fraud monitoring-data analyst-credit card-risk,kotak mahindra bank limited,"ms-office,communication,analytical,interaction",full time,mumbai,1
53,data analyst,data analyst - sql,coforge,"development,time management,verbal communication",full time,,1
54,data analyst,data analyst - power bi,gartner,"dax functions,powerapp,power bi,power automate",full time,gurugram,3
55,data analyst,clinical data analyst,jitendra laxmandas chandwani (proprietor of lns infotech),"data analysis,sql",full time,"pune,hyderabad",5
56,data analyst,data analyst required in canada,company name confidential,"mis analyst,reporting analyst",full time,,6
57,data analyst,data analyst,numaware technologies private limited,"snowflake,sql,python,data modelling",full time,bengaluru,6
58,data analyst,data analyst internship at pune,maxgen technologies private limited,"internship,live projects,academic projects",full time,"pune,sangli",0
59,data analyst,clinical data analyst,company name confidential,"data analysis,sql",full time,gurugram,5
60,data analyst,data analyst - internship,sun hr consultancy,"data analysis,freshers,business analyst",full time,chennai,0
61,data analyst,data analyst,ciel hr services,powerbi,full time,bengaluru,0
62,data analyst,senior associate-data analyst-master data management,genpact,"business units,word,process experts,eye for details",full time,,3
63,data analyst,"[consultant], [data analyst]!?",genpact,"financial reporting,financial metrics,positive work environment",full time,gurugram,3
64,data analyst,"[consultant], [data analyst]!?",genpact,"financial reporting,financial metrics,positive work environment",full time,gurugram,3
65,data analyst,"consultant, data analyst %26 channel operations",genpact,"robotics,excel automation,r,qualtrics",full time,bengaluru,1
66,data analyst,data analyst,rajashree dhananjay kunjir (proprietor of adimire ent),data analysis,full time,"chennai,delhi",3
67,data analyst,data analyst,rajashree dhananjay kunjir (proprietor of adimire ent),data analysis,full time,"kolkata,bengaluru",3
68,data analyst,successfactor systems integration specialist or hr data analyst,_vois,"hr services,employee central time and attendance",full time,pune,7
69,data analyst,support for data analyst role,ciel hr services,"sql,power bi",full time,bengaluru,0
70,data analyst,lighthouse- python + sql - data analyst-consultant,kpmg,,full time,bengaluru,0
71,data analyst,"[consultant], [data analyst]!?",genpact,"financial reporting,analytics tools,stakeholder management",full time,gurugram,3
72,data analyst,data analyst,ciel hr services,data visualisation,full time,chennai,0
73,data analyst,business analyst-senior data analyst-master data management,genpact,"powerpoint,data collection,continuous improvement",full time,,3
74,data analyst,senior data analyst,eaton,"data analytics algorithm,process management",full time,pune,7
75,data analyst,data analyst,rajashree dhananjay kunjir (proprietor of adimire ent),data analysis,full time,"mumbai,pune",3
76,data analyst,human resources data analyst,d square consulting services pvt ltd,"hr,communication,data insights,data analytics",full time,bengaluru,4
77,data analyst,data analyst,willware technologies,"analytical,problem-solving,data validation",full time,bengaluru,6
78,data analyst,data analyst,jar app,"clevertap,amplitude,fintech,queries",full time,bengaluru,1
79,data analyst,data analyst,sgs,"analytical thinking,visual reports,analysis services",full time,pune,4
80,data analyst,data analyst,willware technologies,"analytical,problem-solving,data validation",full time,chennai,6
81,data analyst,data analyst- it,hyrezy talent solutions llp,"data analysis,scikit-learn",full time,hyderabad,1
82,data analyst,data analyst,capco,"governance,pyspark,data quality",full time,bengaluru,9
83,data analyst,data analyst,nov,"data,confidentiality,analyst,quality check",full time,mumbai,1
84,data analyst,data analyst,"quiktrak, llc","r,power bi,database design,data warehousing",full time,hyderabad,1
85,data analyst,data analyst (advanced excel),gainwell technologies,"data analysis,company software,personal computer",full time,chennai,4
86,data analyst,data analyst,plansource,"benefits administration,payroll,delimited file conventions",full time,,2
87,data analyst,lead data analyst,dpdzero,"models,normalised,parquet,denormalised",full time,bengaluru,6
88,data analyst,data analyst,align technology,"javascript,sas,spss,xml,excel,sql",full time,,6
89,data analyst,senior data analyst,akaike technologies,"business performance reporting,predictive models",full time,bengaluru,3
90,data analyst,human resources data analyst ii,hillenbrand,"business data analyst,statistics",full time,coimbatore,3
91,data analyst,mis & data analyst-jammu,credent global finance,"business intelligence,looker,analytical skills",full time,jammu,1
92,data analyst,ind data analyst i,aon,"data analysis,business writing,reporting",full time,gurugram,1
93,data analyst,data analyst,st advisory,"etl frameworks,visualization,statistics,analytical skills",full time,kota,1
94,data analyst,data analyst,plansource,"benefits administration,payroll,delimited file conventions",full time,,2
