key,job_role,job_title,company_name,skills,job_type,location,experience
1,data engineer,manager_ gcp data engineer,_vois,"non-functional requirements,model features",full time,pune,7
2,data engineer,azure data engineer,capgemini technology services india limited,"azure""",full time,kolkata,9
3,data engineer,principal consultant- lead data engineer,genpact,"pyspark,databricks,python,sql,aws",full time,pune,1
4,data engineer,senior cloud data engineer,deutsche bank,"cloud composer,gcp,bigquery,apache spark",full time,pune,1
5,data engineer,senior data engineer with python,thomson reuters,"information & data catalogs,security,metadata repositories",full time,hyderabad,6
6,data engineer,big data engineer (lead),infogain,"azure datalake,big data",full time,mumbai,11
7,data engineer,"associate, data engineer",blackrock,"big query,airflow,great expectations,gitlab ci",full time,gurugram,6
8,data engineer,data engineer ii-support services-cto head,kotak mahindra bank limited,"airflow,firehose,glue,data processing",full time,bengaluru,7
9,data engineer,"senior data engineer, youtube",google,"model features,data pipelines,data integrity",full time,bengaluru,9
10,data engineer,p&cro obsolescence data engineer,alstom,"design mitigation,data handling,obsolescence management",full time,,2
11,data engineer,er - data engineer,altimetrik,"big data,sql,aws,etl,data warehousing",full time,bengaluru,4
12,data engineer,data engineer,hitachi energy,"microsoft power bi,pyspark",full time,chennai,6
13,data engineer,azure data engineer,capgemini technology services india limited,"azure""",full time,"mumbai,pune",9
14,data engineer,azure data engineer,capgemini technology services india limited,"azure""",full time,"bengaluru,chennai",9
15,data engineer,cloud data engineer,deutsche bank,"cloud composer,big query,gcp,apache spark",full time,pune,1
16,data engineer,manager_ gcp data engineer,vodafone,"design data solutions,model features,statistical",full time,pune,7
17,data engineer,data engineer,merck,"java,unix,machine learning,scala,kafka",full time,bengaluru,5
18,data engineer,data engineer iii,walmart,"airflow,biqquery,analytical thinking,communication skills",full time,bengaluru,4
19,data engineer,data engineer iii,walmart,"looker,looks,explores,charts,backend",full time,bengaluru,1
20,data engineer,ms sql server data engineer,hitachi energy,"collaboration,attention to detail,digital solutions",full time,chennai,6
21,data engineer,senior data engineer,adobe,"copilot,cloud platforms,ai tools,data access",full time,bengaluru,4
22,data engineer,azure data engineer with databricks and pyspark,birlasoft limited,"databricks,pyspark",full time,bengaluru,9
23,data engineer,data engineer,skanda it consulting private limited,"odi,oracle data integrator,power bi",full time,chennai,5
24,data engineer,azure data engineer,ips vantage tech services private limited,"adb,py spark,scala",full time,"mumbai,pune",7
25,data engineer,azure data engineer,company name confidential,"azure,adf,etl,azure data","contract job,part time",,15
26,data engineer,azure data engineer,birlasoft limited,"adls,azure data,azure,sql",full time,"bengaluru,hyderabad",5
27,data engineer,test data engineer (data qa),company name confidential,,"work from home,contract job,part time",,13
28,data engineer,excellent opportunity for azure data engineer,company name confidential,"pyspark,adf,azure data bricks",full time,"bengaluru,chennai",6
29,data engineer,azure data engineer with databricks and pyspark,birlasoft limited,"databricks,pyspark",full time,"mumbai,pune",9
30,data engineer,gcp data engineer,company name confidential,"gcp,bigquery,python",full time,"kolkata,bengaluru",10
31,data engineer,senior principal data engineer,gsk india,"architecture design,domain-driven design",full time,bengaluru,16
32,data engineer,data engineer,company name confidential,"data bricks,data warehousing","full time,work from home",bengaluru,3
33,data engineer,data engineer data integration,highpoints technologies india private limited,"cloud computing,distributed systems,data modeling",full time,pune,4
34,data engineer,data engineer,skf india,"agile solution development,erp systems,data security",full time,bengaluru,4
35,data engineer,data engineer,careernet,"airflow,fhir,provider data",full time,bengaluru,6
36,data engineer,data engineer,royal enfield,"data encryption,data storage,authorization",full time,chennai,4
37,data engineer,lead consultant- data engineer,genpact,"delta lake,databricks workspace,azure cloud platform",full time,kolkata,1
38,data engineer,data engineer,company name confidential,"big data,etl","full time,work from home",bengaluru,3
39,data engineer,principal consultant- senior data engineer,genpact,"snowflake,spark structured streaming,databricks",full time,bengaluru,1
40,data engineer,sr. data engineer,atg business solutions private limited,"python,pyspark,sql,aws",full time,hyderabad,9
41,data engineer,gcp data engineer,company name confidential,"gcp,bigquery,python",full time,"kolkata,bengaluru",10
42,data engineer,senior software engineer - big data engineer,skylark hr solutions private limited,"git hub,apache spark,spark,sql,etl",full time,"mumbai,chennai",7
43,data engineer,big data engineer,skylark hr solutions private limited,"scala,spark",full time,mumbai,6
44,data engineer,senior software engineer - big data engineer,skylark hr solutions private limited,"pyspark,git hub,cloud,scala,apache spark",full time,"mumbai,chennai",7
45,data engineer,asst. manager - aws data engineer,genpact,"athena,glue,aws,sql,etl,s3,python",full time,gurugram,1
46,data engineer,lead consultant - data engineer,genpact,"data analysis,cicd pipeline process,dbt tool",full time,bengaluru,1
47,data engineer,lead data engineer- pyspark - hyderabad,salesforce,"airflow,dbt,snowflake,ci/cd,github",full time,hyderabad,8
48,data engineer,senior data engineer,bp,"relational databases,py-spark,non-relational databases",full time,pune,6
49,data engineer,"lead consultant, senior data engineer",genpact,"airflow,python,databricks,pyspark,aws",full time,hyderabad,1
50,data engineer,data engineer,ntt data,"datalake,data warehouse,python,cloud",full time,chennai,4
51,data engineer,"lead consultant, senior data engineer",genpact,"airflow,python,databricks,pyspark,aws",full time,hyderabad,1
52,data engineer,"lead consultant, senior data engineer",genpact,"airflow,python,databricks,pyspark,aws",full time,hyderabad,1
53,data engineer,senior data engineer,kotak mahindra bank,"java,scala,spark,python,sql,aws",full time,bengaluru,8
54,data engineer,senior data engineer-digital banking kotak 811-regional sales,kotak mahindra bank limited,"sdlc/cicd,java,agile,hive,mapreduce",full time,bengaluru,4
