key,job_role,job_title,company_name,skills,job_type,location,experience
1,data engineer,"lead consultant, senior data engineer",genpact,"step functions,airflow,aws,sql,databricks",full time,mumbai,1
2,data engineer,azure data engineer,capgemini technology services india limited,"azure""",full time,"bengaluru,chennai",9
3,data engineer,cloud data engineer,birlasoft limited,"python,aws,etl",full time,"bengaluru,gurugram",6
4,data engineer,azure data engineer,schneider electric,"google,r,ci/cd,pyspark,java,powershell",full time,bengaluru,7
5,data engineer,"consultant, data engineer",genpact,"adls,etl,databricks,cloud,spark",full time,bengaluru,1
6,data engineer,"associate, data engineer",blackrock,"big query,airflow,great expectations,gitlab ci",full time,gurugram,6
7,data engineer,"senior data engineer, youtube",google,"data lakes,distributed data platforms,java",full time,bengaluru,9
8,data engineer,principal consultant- lead data engineer,genpact,"aws,databricks,sql,python,pyspark",full time,pune,1
9,data engineer,"consultant, data engineer",genpact,"adls,etl,databricks,cloud,spark",full time,bengaluru,1
10,data engineer,senior data engineer-vice president,blackrock,"database system internals,snowflake,java",full time,gurugram,1
11,data engineer,"lead consultant, senior data engineer",genpact,"step functions,airflow,aws,sql,databricks",full time,mumbai,1
12,data engineer,lead consultant- data engineer,genpact,"snowflake,spark structured streaming,databricks",full time,pune,1
13,data engineer,azure data engineer,capgemini technology services india limited,"azure""",full time,kolkata,9
14,data engineer,azure data engineer,capgemini technology services india limited,"azure""",full time,"mumbai,pune",9
15,data engineer,senior data engineer,hewlett packard enterprise,"software test methodologies,database administration",full time,bengaluru,6
16,data engineer,data engineer,careernet,"data pipelines,data transformations,snowpark",full time,bengaluru,6
17,data engineer,gcp data engineer (senior),infogain,"scala,apache spark,big data",full time,bengaluru,7
18,data engineer,data engineer iii,walmart,"looker,looks,explores,charts,backend",full time,bengaluru,1
19,data engineer,data engineer - azure,itc infotech india limited,"blob storage,delta lake,devops pipeline",full time,bengaluru,4
20,data engineer,ms sql server data engineer,hitachi energy,"collaboration,attention to detail,digital solutions",full time,chennai,6
21,data engineer,azure data engineer (standard),infogain,"azure datalake,synapse",full time,mumbai,4
22,data engineer,data engineer,merck,"java,unix,machine learning,scala,kafka",full time,bengaluru,5
23,data engineer,data engineer,hitachi energy,"microsoft power bi,pyspark",full time,chennai,6
24,data engineer,"senior data engineer, youtube",google,"data integrations,business intelligence,machine learning models",full time,bengaluru,9
25,data engineer,"data engineer (snowflake, dbt)",coforge,"dbt,snowflake,stored procedures,adf",full time,hyderabad,5
26,data engineer,big data engineer (lead),infogain,"azure datalake,big data",full time,mumbai,11
27,data engineer,manager_ gcp data engineer,vodafone,"design data solutions,model features,statistical",full time,pune,7
28,data engineer,principal data engineer,gsk,"sql dw,data factory,power bi,scala,databricks",full time,bengaluru,1
29,data engineer,er - data engineer,altimetrik,"big data,sql,aws,etl,data warehousing",full time,bengaluru,4
30,data engineer,data engineer,bajaj finserv,"email,team player,critical thinker,sms",full time,pune,7
31,data engineer,aws data engineer,itc infotech india limited,"modeling,secrets manager,problem solver",full time,bengaluru,0
32,data engineer,lead data engineer,company name confidential,"star snowflake schemas,aws s3,python",full time,"hyderabad,pune",8
33,data engineer,azure data engineer,company name confidential,"azure,adf,etl,azure data","contract job,part time",,15
34,data engineer,gcp data engineer,company name confidential,"gcp,bigquery,python",full time,"bengaluru,kolkata",10
35,data engineer,sr. data engineer,atg business solutions private limited,"python,pyspark,sql,aws",full time,hyderabad,9
36,data engineer,azure data engineer,ips vantage tech services private limited,"adb,py spark,scala",full time,"mumbai,pune",7
37,data engineer,azure data engineer with databricks and pyspark,birlasoft limited,"databricks,pyspark",full time,bengaluru,9
38,data engineer,azure data engineer,birlasoft limited,"adls,azure data,azure,sql",full time,"bengaluru,hyderabad",5
39,data engineer,senior software engineer - big data engineer,skylark hr solutions private limited,"pyspark,git hub,cloud,scala,apache spark",full time,"mumbai,chennai",7
40,data engineer,test data engineer (data qa),company name confidential,,"work from home,contract job,part time",,13
41,data engineer,data engineer,skanda it consulting private limited,"odi,oracle data integrator,power bi",full time,chennai,5
42,data engineer,azure data engineer with databricks and pyspark,birlasoft limited,"databricks,pyspark",full time,"mumbai,pune",9
43,data engineer,data engineer - it,neugene international inc,"python,sql,gcp,etl",full time,pune,6
44,data engineer,data engineer - google big query,company name confidential,"big query,gcp",full time,"bengaluru,hyderabad",6
45,data engineer,azure data engineer,risk resources llp,"adf,databricks,pyspark,python,data factory",full time,"bengaluru,chennai",7
46,data engineer,data engineer,careernet,"airflow,fhir,provider data",full time,bengaluru,6
47,data engineer,senior data engineer with python,thomson reuters,"information & data catalogs,security,metadata repositories",full time,hyderabad,6
48,data engineer,data engineer,company name confidential,"data bricks,data warehousing","full time,work from home",bengaluru,3
49,data engineer,data engineer,company name confidential,"big data,etl","full time,work from home",bengaluru,3
50,data engineer,data engineer,skf india,"agile solution development,erp systems,data security",full time,bengaluru,4
51,data engineer,asst. manager - aws data engineer,genpact,"athena,glue,aws,sql,etl,s3,python",full time,gurugram,1
52,data engineer,lead consultant- data engineer,genpact,"delta lake,databricks workspace,azure cloud platform",full time,kolkata,1
53,data engineer,lead consultant it data engineer,genpact,"sql,automation,java,data governance",full time,bengaluru,1
54,data engineer,data engineer,ibs software,"presentation,snowflake,communication",full time,bengaluru,9
55,data engineer,azure data engineer,birlasoft,"adls gen2,ms d365,azure data factory",full time,bengaluru,5
56,data engineer,data engineer iii,walmart global tech india,"explores,looker,looks/charts,backend",full time,bengaluru,1
57,data engineer,data engineer,thomson reuters,"data pipelines,dbt,cloud-based data platforms",full time,bengaluru,4
58,data engineer,data engineer iii,walmart global tech india,,full time,bengaluru,0
59,data engineer,p&cro obsolescence data engineer,alstom,"design mitigation,data handling,obsolescence management",full time,,2
60,data engineer,associate data engineer,bain & company,"airflow,snowflake,streamlit,java,c",full time,gurugram,1
61,data engineer,cloud data engineer,deutsche bank,"cloud composer,big query,gcp,apache spark",full time,pune,1
62,data engineer,senior cloud data engineer,deutsche bank,"cloud composer,gcp,bigquery,apache spark",full time,pune,1
63,data engineer,manager_ gcp data engineer,_vois,"non-functional requirements,model features",full time,pune,7
64,data engineer,"lead consultant, senior data engineer",genpact,"airflow,python,databricks,pyspark,aws",full time,hyderabad,1
65,data engineer,data engineer,ntt data,"datalake,data warehouse,python,cloud",full time,chennai,4
66,data engineer,er - data engineer,altimetrik india private limited,"math skills,big data,sql,aws,database design",full time,bengaluru,5
67,data engineer,lead analyst - data engineer with etl,cgi,"data analysis,scripting,linux,postgresql",full time,bengaluru,9
68,data engineer,aws data engineer (senior),infogain,"aws - cloudformation,aws-apps,aws - eks",full time,bengaluru,7
69,data engineer,gcp data engineer,exl,"chef,google secrets manager,stored procedures",full time,pune,8
70,data engineer,sr azure data engineer,innover global inc,"analytics,data models",full time,,1
71,data engineer,data engineer,kezan consulting- a unit of kezan india private limited,"relational databases,non-relational databases",full time,gurugram,4
72,data engineer,lead data engineer,cortex consultants llc,database design principles,full time,chennai,11
73,data engineer,data engineer (4 yrs to 9 yrs,techstar group,"snowflake,dbt,matillion,pyspark,databricks",full time,chennai,4
74,data engineer,data engineer,think future technologies,"big query,airflow,gcp",full time,gurugram,2
75,data engineer,lead data engineer,advance data analytics ltd.,"azure function apps,automated unit testing",full time,,14
76,data engineer,"lead data engineer â data platform (bangkok-based, relocation provided)",agoda,"kubeflow,starrocks,open-source products",full time,bengaluru,7
77,data engineer,data engineer iii,walmart global tech india,,full time,chennai,0
78,data engineer,data engineer,hoffmann-la roche,"aurora,snowflake,streamsets,spark sql",full time,pune,5
79,data engineer,senior data engineer,bajaj finserv,"procedures,complex sql queries,partitioning techniques",full time,pune,5
80,data engineer,azure data engineer,cortex consultants llc,"unix shell scripting,power bi,tableau",full time,bengaluru,9
81,data engineer,data engineer,dialpad,"cloud platforms,big data platform implementations",full time,bengaluru,6
82,data engineer,data engineer,dyne,"cloud platforms,atscale,git version control",full time,bengaluru,4
83,data engineer,sr azure data engineer,innover global inc,"analytics,adl,delta tables",full time,hyderabad,1
84,data engineer,lead data engineer,useready,"data pipelines,azure,java,python,gcp",full time,,4
85,data engineer,data engineer ii,spiceworks,"airflow,data hygiene,matillion,etl processes",full time,pune,5
86,data engineer,lead - data engineer,zeta,"credit card migrations,events,data extracts",full time,bengaluru,11
87,data engineer,data engineer ii,spiceworks,"airflow,managed cloud services,data hygiene",full time,,5
88,data engineer,data engineer--pd,programming.com,"pyspark,azure data lake,azure databricks",full time,,7
89,data engineer,lead data engineer,lifesight,"parquet,data pipelines,rdds,data frames",full time,bengaluru,9
90,data engineer,sr pyspark data engineer,iti data,"hive,rdbms,python,rest api,pyspark",full time,hyderabad,5
91,data engineer,ib modern tech coe data engineer with powerbi,jobs via efinancialcareers,"agile sdlc,ci/cd,data storage,git/github/gitlab",full time,pune,11
92,data engineer,data engineer,kaseya,"airflow,snowflake,ci/cd,data modelling",full time,bengaluru,4
93,data engineer,senior developer data engineer,bce global tech,"ci/cd,gcp services,java,hadoop ecosystem",full time,bengaluru,6
94,data engineer,senior data engineer,jio,"ci/cd,eventhub,synapse,azure hdinsights",full time,mumbai,6
95,data engineer,sr data engineer,it minds llc,"cai,governance,idmc,synapse,catalogue",full time,,7
96,data engineer,data engineer,cortex consultants llc,machine learning models,full time,mumbai,6
97,data engineer,azure data engineer,thoucentric,"microsoft stack,luigi,kappa,azkaban,big data platforms",full time,bengaluru,3
98,data engineer,jr data engineer,futuremug,"sql,java,python,azure,scala,hadoop",full time,kottayam,1
99,data engineer,"sr. data engineer (remote, ind)",crowdstrike,"snowflake,cloud api,data pipeline automation",full time,bengaluru,9
100,data engineer,data engineer with 2+ years of experience,bloom ai,"django orm,jwts,start-up experience,cookies",full time,gurugram,3
101,data engineer,data engineer-ii,expedia group,"airflow,flink,ecs/docker,s3,aws lambda",full time,gurugram,1
102,data engineer,"sr. data engineer (remote, ind)",crowdstrike,"snowflake,cloud api,data pipeline automation",full time,pune,9
103,data engineer,data engineer,orion innovation,"agile development environment,azure data services",full time,,8
104,data engineer,sr data engineer,codekart,"data modeling,hadoop",full time,mumbai,6
105,data engineer,"sr. data engineer (remote, ind)",crowdstrike,"snowflake,cloud api,data pipeline automation",full time,pune,9
106,data engineer,"sr. data engineer (remote, ind)",crowdstrike,"snowflake,cloud api,data pipeline automation",full time,,9
107,data engineer,data engineer,koch industries,"critical data elements management,data harmonization",full time,bengaluru,6
108,data engineer,"sr. data engineer (remote, ind)",crowdstrike,"snowflake,cloud api,data pipeline automation",full time,pune,9
109,data engineer,"data engineer iii - python, pyspark, aws",chase bank,"python,sql,aws,nosql,pyspark,statistical data analysis",full time,pune,4
110,data engineer,azure data engineer,arcadis,"azure data lake store,azure sql dw,azure repos",full time,bengaluru,5
111,data engineer,principal data engineer,providence india,"logic apps,visio,akv,adls,snowflake",full time,,1
112,data engineer,lead data engineer,useready,"data pipelines,azure,java,python,gcp",full time,gurugram,4
113,data engineer,"data engineer iii (remote, ind)",crowdstrike,"airflow,cd,k8,golang,ci,kafka,emr",full time,chennai,6
114,data engineer,data engineer,appen,"ai,nosql,java,software architecture,machine learning",full time,hyderabad,4
115,data engineer,lead data engineer,providence india,"snowflake cloud data platform,azure synapse",full time,,6
116,data engineer,"data engineer â sql , etl & db - snowflake",globalstep,"snowflake,azure,trello,git,python,linux",full time,bengaluru,1
117,data engineer,nlp data engineer,gallop research,"spacy,data acquisition,tensorflow,deep learning",full time,pune,6
118,data engineer,data engineer ii-python/pyspark,chase bank,"glue,data analysis,python,databricks",full time,bengaluru,3
119,data engineer,azure data engineer,"nastech global, inc.,","azure sql database,etl processes,azure data factory",full time,kochi,4
120,data engineer,data engineer iii,teva pharmaceuticals,"ci/cd,python,sql,ml,databricks,datafactory",full time,bengaluru,1
121,data engineer,sr. prinicipal data engineer,providence india,"snowflake,data factory,hadoop,spark",full time,,9
122,data engineer,lead data engineer,providence india,"snowflake cloud data platform,azure synapse",full time,,6
123,data engineer,"data engineer, india - x delivery",boston consulting group,"airflow,github actions,snowflake,ci/cd",full time,bengaluru,3
124,data engineer,data engineer,paralleldots,"python,spark,kafka,big data",full time,bengaluru,6
