key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,"Sr. Data Engineer, Global Analytic (TCF)",Concentrix,"Data Analysis,Advance Excel,Pivot Tables",Full time,"Pune, India",4-6 Years
2,Data Engineer,Data Engineer,Praxis Placement Consultancy,"snowflakes,data integrations,Data Engineer",Full time,"Bengaluru / Bangalore, Kolkata",5-7 Years
3,Data Engineer,AWS Data Engineer,Maverick Edutech Private Limited,"Spark,Redshift,S3",Full time,"Hyderabad / Secunderabad, Telangana",5-7 Years
4,Data Engineer,Senior Data Engineer,White Horse Manpower Consultancy Private Limited,"Semarchy MDM,Informatica Mdm,Linux Shell Scripting",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",6-10 Years
5,Data Engineer,Data Engineer,Career Foresight Hr Solutions Llp,Data Engineer,Full time,Cochin / Kochi / Ernakulam,6-10 Years
6,Data Engineer,Big Data Engineer,NETAPP,"Druid,HDFS,Big Data,Sql,Java,data engineering",Full time,"Bengaluru / Bangalore, India",5-7 Years
7,Data Engineer,"Data Integration Engineer (TDH, Spark,ETL)",BNP Paribas,"Flink,serena,Storm,Power Bi,Scala,Apache Spark",Full time,"Chennai, India",10-12 Years
8,Data Engineer,AWS Data Engineer,Willware Technologies Private Limited,"Spark Airflow,AWS,Python,Sql","Work From Home, Full time",Chennai,5-9 Years
9,Data Engineer,DATA Engineer,Company name confidential,"Agile Software,Etl Extract,Etl Tools,Etl,Dwh","Jobs for Women, Full time",Gurugram,7-12 Years
10,Data Engineer,Big Data Engineer,NETAPP,"Druid,HDFS,Big Data,Sql,Java,data engineering",Full time,"Bengaluru / Bangalore, India",5-7 Years
11,Data Engineer,Azure Data Engineer,Birlasoft,"Azure Cosmos DB,Microsoft Certified,Apache Hadoop",Full time,"Pune, India",4-6 Years
12,Data Engineer,Data Engineer- OBIEE,LTIMindtree Limited,"Business Intelligence,OBIEE,Data Warehouse",Full time,"Bengaluru / Bangalore, Mumbai",3-8 Years
13,Data Engineer,Azure Data Engineer,Birlasoft Limited,Azure,Full time,"Bengaluru / Bangalore, Chennai",5-8 Years
14,Data Engineer,Data Engineer - OACS,LTIMindtree Limited,"OACS,OAC,OAS,OBIEE",Full time,Mumbai,3-8 Years
15,Data Engineer,Data Engineer/Business System Analyst,BNP Paribas,"Attention To Detail,Analytical Ability,Data Analysis",Full time,"Chennai, India",5-7 Years
16,Data Engineer,Urgent Requirement for Big Data Engineer Hadoop Scala,Talentico Consultancy Services,"Hadoop,Hadoop Big Data,Scala",Full time,Pune,5-10 Years
17,Data Engineer,Azure / AWS Developer + AI + Data Engineer,Lyros Technologies Private Limited,"Azure Cognitive Services,Azure Machine Learning",Full time,Chennai,3-7 Years
18,Data Engineer,"Data Engineer (GIS, ArcGIS, ESRI) | Contractual | WFH/Remote",WovV Technologies (Division of Techno compass consulting Pvt Ltd),"Gis,Arcgis,Esri,Python,MS SQL,Talend","Work From Home, Full time","Chennai, Mumbai",3-5 Years
19,Data Engineer,Urgent requirement WFH or remote C2C-Azure Cloud Graph Data Engineer,Mindpower HR Solutions,Graph database. Graph Modeling & Ingestion. Cypher/GQL,Full time,Remote,5-15 Years
20,Data Engineer,Big Data Engineer,Dmaic Academy And Consultancy,"Azure Synapse Analytics,Azure Storage Explorer",Full time,Coimbatore,7-10 Years
21,Data Engineer,Azure Data Engineer - Consultant - BLR (Job Code : J47638),Sampoorna Consultants Private Limited,Azure,Full time,Bengaluru / Bangalore,3-8 Years
22,Data Engineer,Azure Data Engineer,GSPANN Technologies,"Azure Blob Storage,Azure Data Factory,Azure Data Lake",Full time,"Gurgaon / Gurugram, Hyderabad / Secunderabad, Telangana",6-15 Years
23,Data Engineer,AI + Data Engineer,Lyros Technologies Private Limited,"troubleshoot data pipeline,monitoring data pipeline",Full time,Chennai,3-7 Years
24,Data Engineer,Senior Data Engineer,White Horse Manpower Consultancy Private Limited,"Semarchy MDM,Linux Shell Scripting,Oracle Database",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",6-9 Years
25,Data Engineer,Data Engineer,Leverage Business Solutions Private Limited,"Spark,Mysql,Oracle,Aws Cloud,Python",Full time,Bengaluru / Bangalore,2-4 Years
26,Data Engineer,Senior Data Engineer,White Horse Manpower Consultancy Private Limited,"Power informatica,Oracle,SQL Server,Sdlc Process",Full time,Bengaluru / Bangalore,8-12 Years
27,Data Engineer,Data Engineer_DBT | Permanent WFH/ Remote,WovV Technologies (Division of Techno compass consulting Pvt Ltd),"dbt,snowflake,Data Lakehouse,Sql,AWS","Work From Home, Full time","Chennai, Mumbai",5-10 Years
28,Data Engineer,Data Engineer,HNM Solutions,"Data Engineer,Pyspark",Full time,"Chennai, Pondicherry",8-12 Years
