key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,Data Engineer- Azure/Snowflake,Eaton Technologies Private Limited,"snowflake,pythond,Azure Databricks,Continuous Integration",Full time,Pune,8-12 Years
2,Data Engineer,Lead Consultant- Data Engineer,Genpact,"Airflow,Databricks Delta Live Table,HDFS",Full time,"Hyderabad / Secunderabad, Telangana",0-2 Years
3,Data Engineer,Lead Consultant Data Engineer,Genpact,"snowflake,Airflow,dbt,Sql,AWS,Python",Full time,"Gurugram, Gurgaon / Gurugram",0-2 Years
4,Data Engineer,Data Engineer Azure ( Data Factory with Snowflake),Changeleaders Consulting Private Limited,"Snow Flake,Adf,Ssis,Azure,Sql",Full time,"Chennai, Noida",5-8 Years
5,Data Engineer,Senior Consultant- Data Engineer,Genpact,"Pyspark,Databricks,Python,Sql,AWS",Full time,"Hyderabad / Secunderabad, Telangana",0-2 Years
6,Data Engineer,AWS Data Engineer,Dmaic Academy And Consultancy,"Aws,Python,Sql,Lambda",Full time,"Bengaluru / Bangalore, Pune",7-9 Years
7,Data Engineer,Data Engineer,Brain Management Consultants India Private Limited,"Databricks Developer,Azure Databricks","Jobs for Women, Full time","Bengaluru / Bangalore, Pune",5-7 Years
8,Data Engineer,Azure Data Engineer,Company name confidential,"Azure,Data Engineer,Adf,Etl,Azure Data","Contract Job, Part time",Remote,10-20 Years
9,Data Engineer,Python Data Engineer,Jitendra Laxmandas Chandwani (Proprietor of Lns Infotech),"Python Data Engineer,Python,Pandas,Data Visualization",Full time,"Gurgaon / Gurugram, Pune",5-8 Years
10,Data Engineer,Data Engineer,Datafoundry Private Limited,"snowflake,data marts,PostgreSQL,Plsql",Full time,Bengaluru / Bangalore,6-10 Years
11,Data Engineer,Lead Consultant- Data Engineer,Genpact,"Airflow,Databricks Delta Live Table,HDFS",Full time,Bengaluru / Bangalore,0-2 Years
12,Data Engineer,Data Engineer,Talpro India Private Limited,"Java,Python,Big Data",Full time,Bengaluru / Bangalore,5-10 Years
13,Data Engineer,Data Engineer - IT,Neugene International Inc,"Data Analyst,Python,Sql,Gcp,Etl",Full time,Pune,6-7 Years
