key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,Principle Data Engineer,Synechron Technologies Private Limited,"Principle Data Engineer,Big Data,Hadoop",Full time,"Bengaluru / Bangalore, Pune",15-20 Years
2,Data Engineer,Principle Data Engineer,Synechron Technologies Private Limited,"Principle Data Engineer,Big Data,Hadoop",Full time,Mumbai,15-20 Years
3,Data Engineer,Data Engineer (Spark/Streaming),Synechron Technologies Private Limited,"Data Engineer,Big Data,Spark,Streaming",Full time,Mumbai,5-10 Years
4,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Big Data,Hadoop,Hive,Hbase",Full time,Mumbai,5-10 Years
5,Data Engineer,Principle Data Engineer,Synechron Technologies Private Limited,"Principle Data Engineer,Big Data,Hadoop",Full time,"Chennai, Hyderabad / Secunderabad, Telangana",15-20 Years
6,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Big Data,Hadoop,Hive,Hbase",Full time,"Bengaluru / Bangalore, Pune",5-10 Years
7,Data Engineer,Data Engineer (Spark/Streaming),Synechron Technologies Private Limited,"Data Engineer,Big Data,Spark,Streaming",Full time,"Bengaluru / Bangalore, Pune",5-10 Years
8,Data Engineer,Data Engineer (Spark/Streaming),Synechron Technologies Private Limited,"Data Engineer,Big Data,Spark,Streaming",Full time,"Chennai, Hyderabad / Secunderabad, Telangana",5-10 Years
9,Data Engineer,GCP Data Engineer,LTIMindtree Limited,"""GCP"",Python,Sql,Cloud Computing",Full time,Mumbai,3-8 Years
10,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Big Data,Hadoop,Hive,Hbase",Full time,"Chennai, Hyderabad / Secunderabad, Telangana",5-10 Years
11,Data Engineer,Data Engineer - OACS,LTIMindtree Limited,"OACS,OAC,OAS,OBIEE",Full time,Mumbai,3-8 Years
12,Data Engineer,Data Engineer Ab Initio,Brain Management Consultants India Private Limited,"Ab Initio GDE,Ab Initio,Abinitio",Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",3-10 Years
13,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Spark,Hive,Sqoop,Kafka",Full time,Gurgaon / Gurugram,7-10 Years
14,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Spark,Hive,Sqoop,Kafka",Full time,"Chennai, Pune",7-10 Years
15,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Spark,Hive,Sqoop,Kafka",Full time,"Bengaluru / Bangalore, Mumbai",7-10 Years
16,Data Engineer,Azure Data Engineer,Company name confidential,"Adf,Azure Data Bricks,Azure Data Lake,Pyspark",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",5-13 Years
17,Data Engineer,SnapLogic Data Engineer,Yellow Umbrella Group,"Snaplogic development,Troubleshooting,Data Analysis",Full time,Remote,5-15 Years
18,Data Engineer,Senior Data Engineer,Swiss Re,"Python,Sql,AWS,Spark SQL,Azure,Pyspark",Full time,"Hyderabad / Secunderabad, Telangana, India",4-5 Years
19,Data Engineer,Data Engineer,V2 Tech Venture Private Limited,"Snow Flake,aws devops,AWS,Sql,Python",Full time,"Bengaluru / Bangalore, Mumbai, Navi Mumbai",2-6 Years
20,Data Engineer,Azure Data Engineer,ITC Infotech India Limited,"Technical,Infrastructure,Cloud,Azure",Full time,"Bengaluru / Bangalore, India",Fresher
21,Data Engineer,Data Engineer- OBIEE,LTIMindtree Limited,"Business Intelligence,OBIEE,Data Warehouse",Full time,"Bengaluru / Bangalore, Mumbai",3-8 Years
22,Data Engineer,Data Engineer - OACS,LTIMindtree Limited,"OACS,OAC,OAS,OBIEE",Full time,Mumbai,3-8 Years
23,Data Engineer,Azure Data Engineer,Birlasoft Limited,Azure,Full time,"Bengaluru / Bangalore, Chennai",5-8 Years
24,Data Engineer,Consulting-BO-Cloud Engineering-Senior Consultant-GCP Big data Data Engineer-Chennai,Deloitte,"python,mysql,Apache Spark,sql server",Full time,"Delhi, India",5-8 Years
25,Data Engineer,Internship - Data Engineer- Python+SQL,Nextogen Technologies Private Limited,"Python,Sql",Full time,"Hyderabad / Secunderabad, Telangana",Fresher
26,Data Engineer,Data Engineer Ab Initio,Brain Management Consultants India Private Limited,"Ab Initio GDE,Ab Initio,Abinitio",Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",3-10 Years
27,Data Engineer,Consultant -Data Engineer,Genpact,"snowflake,Stream-sets pipelines,data ingestion",Full time,Pune,0-2 Years
28,Data Engineer,AWS Data Engineer,Maverick Edutech Private Limited,"Spark,Redshift,S3",Full time,"Hyderabad / Secunderabad, Telangana",5-7 Years
29,Data Engineer,Data Engineer - Azure,ITC Infotech India Limited,"notebooks development,Data bricks,Azure",Full time,"Gurgaon / Gurugram, India",3-6 Years
30,Data Engineer,Data Engineer,Mobile Programming LLC,"Sql,AWS,Pyspark",Full time,Remote,6-8 Years
31,Data Engineer,"Sr. Data Engineer (Datawarehouse , ETL , Cloud ,PySpark ) 10+ years",Western Digital,"Data Modelling,PL/SQL,Oracle Database Management",Full time,"Bengaluru / Bangalore, India",7-10 Years
32,Data Engineer,Lead Data Engineer,Chase Bank,"data models,data lifecycle,Relational Databases",Full time,"Bengaluru / Bangalore, India",5-7 Years
33,Data Engineer,Sr. Data Engineer,Amazon Music,"HTML,Sql,Java,Dynamo Db,Devops",Full time,India,3-6 Years
34,Data Engineer,"Sr. Data Engineer (Datawarehouse , ETL , Cloud ,PySpark )",Western Digital,"Data Mapping,data lakes,metadata,erp systems",Full time,"Bengaluru / Bangalore, India",7-10 Years
35,Data Engineer,"Data Engineer II, Amazon Foundational People Data Services (Level 5), Payroll Data Providers",Amazon Music,"Athena,Core Java,Sql,AWS,S3,Batch",Full time,India,3-5 Years
36,Data Engineer,Senior Data Engineer,Ford Motor Company,"GCP Big Query,File processing,Database connectors",Full time,India,4-7 Years
37,Data Engineer,Asst. Manager - AWS Data Engineer,Genpact,"Athena,Glue,AWS,Sql,Etl,S3,Python",Full time,Bengaluru / Bangalore,0-2 Years
38,Data Engineer,Data Engineer,CGI,"Data Catalog,Hadoop,Agile Methodologies",Full time,"Pune, India",5-7 Years
39,Data Engineer,Senior Data Engineer - Data Analytics Competence GECIA,Atlas Copco,"Tibco Data Virtualisation,Data Modelling,Power Bi",Full time,"Pune, India",2-3 Years
40,Data Engineer,Sr. Data Engineer,CGI,"airflow,data orchestration,azure data analytics architecture",Full time,"Bengaluru / Bangalore, India",5-8 Years
41,Data Engineer,Senior Data Engineer,Ford Motor Company,"Cloud Functions,CloudSQL,Cloud Composer",Full time,"Chennai, India",2-3 Years
42,Data Engineer,Expert Data Engineer,Schneider Electric,"Azure Pipelines,Github actions,R,CI/CD",Full time,"Bengaluru / Bangalore, India",6-8 Years
43,Data Engineer,Data Engineer Managing Consultant,Capgemini,"SAP S4/HANA Embedded Analytics (FIORI),SAP SaaS solutions",Full time,"Mumbai, India",6-12 Years
44,Data Engineer,Principal Consultant-Senior Data Engineer,Genpact,"dbt,snowflake,AWS/Azure/GCP,Python/PySpark",Full time,Bengaluru / Bangalore,5-10 Years
45,Data Engineer,Data Engineer II/III - Oracle Plsql,FedEx Logistics,"oracle supplied packages,Oracle Collection",Full time,"Hyderabad / Secunderabad, Telangana, India",10-12 Years
46,Data Engineer,Data Engineer,Ericsson,"Elasticsearch,Kibana,Pandas,MLops,Numpy",Full time,"Bengaluru / Bangalore, India",4-6 Years
47,Data Engineer,Principal Data Engineer,GSK,"big-data processing,Power Apps,Safe,AKS",Full time,"Bengaluru / Bangalore, India",7-10 Years
48,Data Engineer,Senior Data Engineer,Myntra,"Java,python,Kafka,Spark,Aerospike",Full time,"Bengaluru / Bangalore, India",4-6 Years
49,Data Engineer,Big Data Engineer - Lead,HARMAN International,"database schema design,reusable code/component",Full time,"Bengaluru / Bangalore, India",5-7 Years
50,Data Engineer,Data Engineer,Brillio,"Spark MLlib,Spark Batch,Flink,Java,Spark SQL",Full time,"Bengaluru / Bangalore, India",4-6 Years
51,Data Engineer,Global IT Data Engineer Expert Senior Manager,Boston Consulting Group,"Oracle,Sql,MySQL,Python,Powershell",Full time,"Delhi, India",3-5 Years
52,Data Engineer,"Data Engineer, Business Process Reengineering",Apple,"snowflake,dimensional data modeling,dev to production processes",Full time,"Hyderabad / Secunderabad, Telangana, India",10-12 Years
53,Data Engineer,Data Engineer 2,Amadeus,"Databricks SQL,Snowflake Data Cloud,Mapr Filesystem",Full time,"Bengaluru / Bangalore, India",2-9 Years
