key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,"Lead Consultant, Senior Data Engineer",Genpact,"Step Functions,Airflow,AWS,Sql,Databricks",Full time,Mumbai,0-2 Years
2,Data Engineer,Azure Data Engineer,Capgemini Technology Services India Limited,"Azure Data Engineer,Azure""",Full time,"Mumbai, Pune",4-14 Years
3,Data Engineer,Cloud Data Engineer,Birlasoft Limited,"Python,AWS,Etl",Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",5-8 Years
4,Data Engineer,Lead Consultant- Data Engineer,Genpact,"snowflake,Spark Structured Streaming,Databricks",Full time,Pune,0-2 Years
5,Data Engineer,"Consultant, Data Engineer",Genpact,"ADLS,Etl,Databricks,Cloud,Spark",Full time,Bengaluru / Bangalore,0-2 Years
6,Data Engineer,"Data Engineer (Snowflake, DBT)",Coforge,"dbt,snowflake,Stored Procedures,Adf",Full time,"Hyderabad / Secunderabad, Telangana, India",4-6 Years
7,Data Engineer,Senior Data Engineer-Vice President,BlackRock,"database system internals,snowflake,Java",Full time,"Gurgaon / Gurugram, India",0-2 Years
8,Data Engineer,"Consultant, Data Engineer",Genpact,"ADLS,Etl,Databricks,Cloud,Spark",Full time,Bengaluru / Bangalore,0-2 Years
9,Data Engineer,Principal Consultant- Lead Data Engineer,Genpact,"AWS,Databricks,Sql,Python,Pyspark",Full time,Pune,0-2 Years
10,Data Engineer,"Senior Data Engineer, YouTube",Google,"data integrations,business intelligence,machine learning models",Full time,"Bengaluru / Bangalore, India",8-10 Years
11,Data Engineer,"Lead Consultant, Senior Data Engineer",Genpact,"Step Functions,Airflow,AWS,Sql,Databricks",Full time,Mumbai,0-2 Years
12,Data Engineer,Cloud Data Engineer,Birlasoft,"Glue,Athena,Master Data Management",Full time,"Bengaluru / Bangalore, India",5-7 Years
13,Data Engineer,Azure Data Engineer,Capgemini Technology Services India Limited,"Azure Data Engineer,Azure""",Full time,"Bengaluru / Bangalore, Chennai",4-14 Years
14,Data Engineer,Azure Data Engineer,Capgemini Technology Services India Limited,"Azure Data Engineer,Azure""",Full time,Kolkata,4-14 Years
15,Data Engineer,"Associate, Data Engineer",BlackRock,"Big Query,Airflow,Great Expectations,Gitlab CI",Full time,"Gurgaon / Gurugram, India",5-7 Years
16,Data Engineer,Azure Data Engineer,Schneider Electric,"Google,R,CI/CD,Pyspark,Java,PowerShell",Full time,"Bengaluru / Bangalore, India",6-8 Years
17,Data Engineer,Deputy Manager_Cloud Big Data Engineer _Pune,Vodafone,"composer,Big Query,CDAP,Google Cloud Platform",Full time,Pune,0-2 Years
18,Data Engineer,Big Data Engineer (Lead),Infogain,"Azure Datalake,Big Data,Data Warehouse",Full time,"Mumbai, India",11-12 Years
19,Data Engineer,Senior Data Engineer,Nissan Motor Corporation,"No-SQL,snowflake,Talend ETL,Java,Scala",Full time,"Thiruvananthapuram / Trivandrum, India",5-7 Years
20,Data Engineer,Data Engineer,SKF India,"Fivetran/HVR,FiveTran,snowflake,dbt,Kanban",Full time,"Bengaluru / Bangalore, India",5-7 Years
21,Data Engineer,GCP Data Engineer (Senior),Infogain,"data engineering,Python,Apache Spark",Full time,"Bengaluru / Bangalore, India",6-8 Years
22,Data Engineer,"Associate, Data Engineer",BlackRock,"Big Query,Airflow,Great Expectations,Gitlab CI",Full time,"Gurgaon / Gurugram, India",0-5 Years
23,Data Engineer,Big Data Engineer (Lead),Infogain,"Azure Datalake,data engineering,Big Data",Full time,"Mumbai, India",11-12 Years
24,Data Engineer,Azure Data Engineer (Standard),Infogain,"Azure Datalake,Synapse,data engineering",Full time,"Mumbai, India",3-5 Years
25,Data Engineer,Azure Data Engineer (Senior),Infogain,"Synapse,Azure Datalake,databricks,Azure Data Factory",Full time,"Pune, India",6-8 Years
26,Data Engineer,Senior Data Engineer,Hewlett Packard Enterprise,"Software Test Methodologies,Sql,Hive,Python",Full time,"Bengaluru / Bangalore, India",5-7 Years
27,Data Engineer,data engineer.,Randstad,"data pipelining,R,Relational Databases",Full time,"Hyderabad / Secunderabad, Telangana",0-2 Years
28,Data Engineer,Data Engineer - Azure,ITC Infotech India Limited,"blob storage,delta lake,devops pipeline",Full time,"Bengaluru / Bangalore, India",4-5 Years
29,Data Engineer,Associate - Data Engineer,BlackRock,"Big Query,Airflow,Great Expectations,Gitlab CI",Full time,"Gurgaon / Gurugram, India",0-5 Years
30,Data Engineer,Data Engineer _GCP Build | 9-12 years | Pan India,Capgemini,"BigQuery,Gcp,Hadoop,Spark,Sql",Full time,"Mumbai, India",3-5 Years
31,Data Engineer,Principal Data Engineer,GSK,"SQL DW,Data Factory,Power Bi,Scala,Databricks",Full time,"Bengaluru / Bangalore, India",0-2 Years
32,Data Engineer,Data Engineer,Careernet,"data pipelines,Data transformations,Snowpark",Full time,"Bengaluru / Bangalore, India",5-7 Years
33,Data Engineer,Data Engineer,SKF India,"data retrieval,snowflake,Data Processing",Full time,"Bengaluru / Bangalore, India",0-2 Years
34,Data Engineer,GCP Data Engineer (Senior),Infogain,"data engineering,Scala,Apache Spark,Big Data",Full time,"Bengaluru / Bangalore, India",6-8 Years
35,Data Engineer,MS SQL server Data Engineer,Hitachi Energy,"Collaboration,Attention To Detail,Digital Solutions",Full time,"Chennai, India",5-7 Years
36,Data Engineer,DATA ENGINEER III,Walmart,"Airflow,BiqQuery,Analytical Thinking,Communication Skills",Full time,"Bengaluru / Bangalore, India",3-6 Years
37,Data Engineer,AWS Data Engineer,ITC Infotech India Limited,"Modeling,Secrets Manager,Problem Solver",Full time,"Bengaluru / Bangalore, India",Fresher
38,Data Engineer,Manager - Data Engineer,_VOIS,"decision support systems,Data Analysis,Business Intelligence",Full time,"Pune, India",0-2 Years
39,Data Engineer,Data Engineer,Merck,"Java,Unix,Machine Learning,Scala,Kafka",Full time,"Bengaluru / Bangalore, India",2-8 Years
40,Data Engineer,DATA ENGINEER III,Walmart,"R,Plotly,Matplotlib,Gcp,Powerbi,Seaborn",Full time,"Bengaluru / Bangalore, India",3-4 Years
41,Data Engineer,Azure Data Engineer,WNS,"Azure DE,Adb,Adf,Pyspark,Python,Sql",Full time,"Gurgaon / Gurugram, India",0-2 Years
42,Data Engineer,DATA ENGINEER III,Walmart Global Tech India,"Airflow,distributed databases,Data Processing",Full time,"Bengaluru / Bangalore, India",3-5 Years
43,Data Engineer,Data Engineer,Bajaj Finserv,"Email,Team Player,Critical Thinker,Sms",Full time,"Pune, India",3-12 Years
44,Data Engineer,Azure Data Engineer with Databricks and PySpark,Birlasoft Limited,"Azure Data Engineer,Databricks,Pyspark",Full time,"Mumbai, Pune",8-10 Years
45,Data Engineer,Azure Data Engineer with Databricks and PySpark,Birlasoft Limited,"Azure Data Engineer,Databricks,Pyspark",Full time,"Bengaluru / Bangalore, Noida",8-10 Years
46,Data Engineer,Azure Data Engineer,Company name confidential,"Azure,Data Engineer,Adf,Etl,Azure Data","Contract Job, Part time",Remote,10-20 Years
47,Data Engineer,Lead Data Engineer,Company name confidential,"Star Snowflake Schemas,Aws S3,Python",Full time,"Hyderabad / Secunderabad, Telangana, Pune",4-12 Years
48,Data Engineer,Data Engineer,Company name confidential,"data bricks,Data Warehousing","Work From Home, Full time",Bengaluru / Bangalore,2-4 Years
49,Data Engineer,Sr. Data Engineer,Atg Business Solutions Private Limited,"Python,Pyspark,Sql,AWS",Full time,"Hyderabad / Secunderabad, Telangana",6-13 Years
50,Data Engineer,Test Data Engineer (Data QA),Company name confidential,test data engineer,"Contract Job, Work From Home, Part time",Remote,8-18 Years
51,Data Engineer,Azure Data Engineer,Risk Resources LLP,"Adf,databricks,Pyspark,Python,Data Factory",Full time,"Bengaluru / Bangalore, Chennai",4-10 Years
52,Data Engineer,GCP Data Engineer,Company name confidential,"Gcp,BigQuery,Python",Full time,"Bengaluru / Bangalore, Kolkata",7-13 Years
53,Data Engineer,Data Engineer - Google Big query,Company name confidential,"big query,Gcp",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",5-8 Years
54,Data Engineer,Data Engineer,Company name confidential,"Big Data,Etl","Work From Home, Full time",Bengaluru / Bangalore,1-5 Years
55,Data Engineer,GCP DATA ENGINEER,Krishna Global Services Private Limited,"Gcp,BigQuery,Python,Sql,Linux Scripting",Full time,"Hyderabad / Secunderabad, Telangana, Pune",5-12 Years
56,Data Engineer,Senior Software Engineer - Big Data Engineer,Skylark Hr Solutions Private Limited,"Pyspark,Git Hub,Cloud,Scala,Apache Spark",Full time,"Chennai, Mumbai",6-9 Years
57,Data Engineer,Senior Software Engineer - Big Data Engineer,Skylark Hr Solutions Private Limited,"Git Hub,Apache Spark,Spark,Sql,Etl",Full time,"Chennai, Mumbai",6-9 Years
58,Data Engineer,Data Engineer,Mobile Programming LLC,Power Bi,Full time,"Gurgaon / Gurugram, Pune",3-6 Years
59,Data Engineer,Data Engineer - IT,Neugene International Inc,"Data Analyst,Python,Sql,Gcp,Etl",Full time,Pune,6-7 Years
60,Data Engineer,Azure Data Engineer,Birlasoft Limited,"ADLS,Azure Data,Azure,Sql",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",4-7 Years
61,Data Engineer,Data Engineer,Careernet,"Airflow,Data Analyst,FHIR,provider data",Full time,"Bengaluru / Bangalore, India",5-7 Years
62,Data Engineer,Lead Consultant IT Data Engineer,Genpact,"Sql,automation,Java,Data Governance",Full time,Bengaluru / Bangalore,0-2 Years
63,Data Engineer,Senior Data Engineer-Digital Banking Kotak 811-Regional Sales,Kotak Mahindra Bank Limited,"SDLC/CICD,Java,Agile,Hive,Mapreduce",Full time,"Bengaluru / Bangalore, India",3-5 Years
64,Data Engineer,Asst. Manager - AWS Data Engineer,Genpact,"Athena,Glue,AWS,Sql,Etl,S3,Python",Full time,"Gurugram, Gurgaon / Gurugram",0-2 Years
65,Data Engineer,Data Engineer,SKF India,"Agile solution development,ERP systems,Data Security",Full time,"Bengaluru / Bangalore, India",3-5 Years
66,Data Engineer,Lead Data Engineer- Pyspark - Hyderabad,Salesforce,"Airflow,dbt,snowflake,CI/CD,Github",Full time,"Hyderabad / Secunderabad, Telangana, India",7-9 Years
67,Data Engineer,Pyspark Data Engineer,Eaton,"Dedicated SQL pools,Serverless SQL pool,Spark SQL",Full time,"Pune, India",5-9 Years
