key,job_role,job_title,company_name,skills,job_type,location,experience
40,Data Engineer,Data Engineer,Dmaic Academy And Consultancy,"Databrick,Python,Pyspark",Full time,Coimbatore,6-12 Years
41,Data Engineer,Consulting - SA&MA - Stream Data Engineer,Deloitte,"AtScale,Gcp,BigQuery,Sql,Etl,Python",Full time,"Delhi, India",0-2 Years
42,Data Engineer,Principal Consultant-Senior Data Engineer,Genpact,"Python,Sql,graph databases,AWS,Etl",Full time,Pune,5-10 Years
43,Data Engineer,Senior Data Engineer for Enterprise AI/ML,Oracle,"data pipelines,Data Flow,data scientists",Full time,"Bengaluru / Bangalore, India",0-2 Years
44,Data Engineer,AWS Data engineer,Kaizen SRA Technologies Private Limited,"airflow,python,Pyspark,aws,oozie","Jobs for Women, Full time",Bengaluru / Bangalore,4-8 Years
45,Data Engineer,Sr Azure Data Engineer,Company name confidential,"Data Processing,databrick,Data Structures","Jobs for Women, Full time",Pune,5-7 Years
46,Data Engineer,Data Engineer,Recwire Consultants Private Limited,"Apache Spark/Scala,Airflow,AWS,Big Data",Full time,Cochin / Kochi / Ernakulam,3-8 Years
47,Data Engineer,Azure Data Engineer,LTIMindtree Limited,"Azure Datafactory,Azure Databricks",Full time,"Bengaluru / Bangalore, Chennai",5-10 Years
48,Data Engineer,GCP Data Engineer,LTIMindtree Limited,"Gcp,BigQuery,Python",Full time,"Mumbai, Pune",3-13 Years
49,Data Engineer,GCP Data Engineer,LTIMindtree Limited,"Gcp,BigQuery,Python",Full time,"Indore, Nagpur",3-13 Years
50,Data Engineer,H1B Visa Sponsorship for IT Professionals for Snowflake Data Engineer,Intalent LLC,"Snow Flake,Data Analyst,could data warehousing. Datawarehouse","International, Full time","Hyderabad / Secunderabad, Telangana, United States of America (USA)",6-12 Years
51,Data Engineer,GCP Data Engineer,LTIMindtree Limited,"Gcp,BigQuery,Python",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",3-13 Years
52,Data Engineer,H1B Visa Sponsorship for IT Professionals for Azure/AWS Data Engineer,Intalent LLC,"Data Optimization,Data Analysis,Deployment","International, Full time","Hyderabad / Secunderabad, Telangana, United States of America (USA)",6-12 Years
53,Data Engineer,GCP Data Engineer,LTIMindtree Limited,"Gcp,BigQuery,Python",Full time,"Kolkata, Jaipur",3-13 Years
